country,fun_fact#,fun_fact
United Kingdom,1,"The UK consumes over 100 million cups of tea every single day."
United Kingdom,2,"French was the official language of the UK for about 300 years."
United Kingdom,3,"Big Ben is the name of the bell inside the tower, not the clock or the tower itself."
United Kingdom,4,"The shortest scheduled flight in the world is in Scotland, lasting just 47 seconds."
United Kingdom,5,"Windsor Castle is the oldest and largest occupied castle in the world."
United Kingdom,6,"The unicorn is the national animal of Scotland."
United Kingdom,7,"It is technically illegal to enter the Houses of Parliament wearing a suit of armor."
United Kingdom,8,"London has the world's oldest underground railway system, the 'Tube'."
United Kingdom,9,"The British Library is the largest library in the world by number of items cataloged."
United Kingdom,10,"Champagne was actually invented in England by scientist Christopher Merret in 1662."
United Kingdom,11,"The Queen (and now the King) does not need a passport to travel abroad."
United Kingdom,12,"There are more chickens in the UK than there are people."
United Kingdom,13,"The BBC is the world's oldest national broadcasting organization."
United Kingdom,14,"London has over 170 museums, many of which are free to the public."
United Kingdom,15,"The first-ever postage stamp, the Penny Black, was issued in the UK in 1840."
Spain,1,"Spain is the world's largest producer of olive oil, accounting for about 44% of global supply."
Spain,2,"The world's oldest existing restaurant, Sobrino de Botín (est. 1725), is in Madrid."
Spain,3,"Spain has more bars per inhabitant than any other country in the European Union."
Spain,4,"There is no tooth fairy in Spain; instead, a mouse named 'Ratoncito Pérez' collects teeth."
Spain,5,"Spain was the first country in the world to use wind energy as its primary electricity source."
Spain,6,"The Spanish National Anthem has no official lyrics."
Spain,7,"The Eiffel Tower was originally intended to be built in Barcelona, but the city rejected it."
Spain,8,"Spain remains the only European country to have a physical border with an African country (Ceuta/Melilla)."
Spain,9,"The 'Tomatina' festival involves thousands of people throwing tomatoes at each other for fun."
Spain,10,"Spain has the second-highest number of UNESCO World Heritage Cities in the world."
Spain,11,"The stapler was invented in the Basque Country of Spain in the 18th century."
Spain,12,"The Spanish New Year tradition involves eating 12 grapes at the stroke of midnight."
Spain,13,"Spain didn't officially join World War I or World War II, remaining neutral."
Spain,14,"Spanish is the second most spoken native language in the world, after Mandarin."
Spain,15,"The Sagrada Família in Barcelona has been under construction for over 140 years."
Netherlands,1,"There are more bicycles in the Netherlands than there are people."
Netherlands,2,"Dutch men are the tallest in the world, with an average height of 6 feet (183 cm)."
Netherlands,3,"The Netherlands was the first country in the world to legalize same-sex marriage (2001)."
Netherlands,4,"One-third of the Netherlands is located below sea level."
Netherlands,5,"The Dutch national anthem, the 'Wilhelmus,' is the oldest in the world (written in 1568)."
Netherlands,6,"Carrots were originally purple or white; the Dutch bred them to be orange in honor of the House of Orange."
Netherlands,7,"Amsterdam is built entirely on wooden poles (the Royal Palace sits on 13,659 poles)."
Netherlands,8,"The Netherlands is the world's largest exporter of flowers, specifically tulips."
Netherlands,9,"Gin was invented in the Netherlands (known as Jenever) before becoming popular in England."
Netherlands,10,"The Dutch consume the most licorice in the world—about 4 lbs per person per year."
Netherlands,11,"Schiphol Airport is situated 4 meters below sea level on what used to be a lake."
Netherlands,12,"The microscope and the telescope were both invented in the Netherlands."
Netherlands,13,"There are over 1,000 historic windmills still standing in the country."
Netherlands,14,"The Dutch invented the first stock exchange in the world in Amsterdam (1602)."
Netherlands,15,"It is a tradition to eat 'Haring' (raw herring) with onions and pickles as a snack."
Belgium,1,"Belgium has the world record for the longest time without a government (541 days)."
Belgium,2,"The Big Bang Theory was actually proposed by a Belgian priest, Georges Lemaître."
Belgium,3,"Belgium produces more than 800 different varieties of beer."
Belgium,4,"The saxophone was invented in Belgium by Adolphe Sax in the 1840s."
Belgium,5,"Belgium has the highest number of castles per square mile in the world."
Belgium,6,"Brussels' Zaventem airport is the largest chocolate selling point in the world."
Belgium,7,"French fries are actually Belgian; they were named 'French' by US soldiers in WWI."
Belgium,8,"The world's first printed newspaper was published in Antwerp in 1605."
Belgium,9,"Belgium has three official languages: Dutch, French, and German."
Belgium,10,"The 'Manneken Pis' statue in Brussels has a wardrobe of over 1,000 different outfits."
Belgium,11,"Belgium is the birthplace of the Smurfs (created by cartoonist Peyo)."
Belgium,12,"The Body Mass Index (BMI) was developed by the Belgian mathematician Adolphe Quetelet."
Belgium,13,"Belgium is home to Tomorrowland, the world's largest electronic dance music festival."
Belgium,14,"Napoleon was finally defeated at the Battle of Waterloo, located in Belgium."
Belgium,15,"The world's longest tram line is the Belgian Coast Tram, which is 68 km long."
Norway,1,"Norway knighted a penguin named Sir Nils Olav who lives in the Edinburgh Zoo."
Norway,2,"The Nobel Peace Prize is the only Nobel prize awarded in Oslo; the others are in Sweden."
Norway,3,"Norway introduced salmon sushi to the Japanese in the 1980s."
Norway,4,"Modern skiing was invented in Norway (the word 'ski' is Old Norse for 'piece of wood')."
Norway,5,"Norway has the world's longest road tunnel, the Lærdal Tunnel (24.5 km)."
Norway,6,"Grandiosa frozen pizza is so popular it is often called the unofficial national dish of Norway."
Norway,7,"The world's most remote island, Bouvet Island, is a Norwegian territory."
Norway,8,"Norway has more Winter Olympic medals than any other nation in the world."
Norway,9,"Gasoline prices in Norway are among the highest in the world, despite being a major oil exporter."
Norway,10,"In a small town called Hell, Norway, the temperature regularly freezes over in winter."
Norway,11,"Norway has a land border with Russia that is 196 km long."
Norway,12,"Norwegians are the world's second-largest consumers of coffee per capita."
Norway,13,"The 'Svalbard Global Seed Vault' protects the world's crop diversity against global disasters."
Norway,14,"Norway's coastline is so jagged that if stretched out, it would circle the Earth twice."
Norway,15,"It is illegal to declaw your cat in Norway unless it is medically necessary."
Sweden,1,"Sweden has more islands than any other country in the world, with over 267,000."
Sweden,2,"The world-famous furniture store IKEA was founded in Sweden in 1943."
Sweden,3,"Sweden was the first country in the world to ban spanking and corporal punishment of children (1979)."
Sweden,4,"The Nobel Prize ceremonies (except the Peace Prize) are held in Stockholm every year."
Sweden,5,"Sweden imports trash from other countries because it is so efficient at recycling it for energy."
Sweden,6,"The 'Lagom' philosophy, meaning 'not too much, not too little, just right,' is central to Swedish culture."
Sweden,7,"The pacemaker, the ultrasound, and the three-point seatbelt were all invented in Sweden."
Sweden,8,"Sweden has a 'Right of Public Access' (Allemansrätten) allowing anyone to camp or hike almost anywhere."
